owning_agency_name,reporting_agency_name,submission_period,federal_account_symbol,federal_account_name,agency_identifier_name,budget_function,budget_subfunction,program_activity_code,program_activity_name,object_class_code,object_class_name,direct_or_reimbursable_funding_source,disaster_emergency_fund_code,disaster_emergency_fund_name,transaction_obligated_amount,gross_outlay_amount_FYB_to_period_end,USSGL487200_downward_adj_prior_year_prepaid_undeliv_order_oblig,USSGL497200_downward_adj_of_prior_year_paid_deliv_orders_oblig,award_unique_key,award_id_piid,parent_award_id_piid,award_id_fain,award_id_uri,award_base_action_date,award_base_action_date_fiscal_year,award_latest_action_date,award_latest_action_date_fiscal_year,period_of_performance_start_date,period_of_performance_current_end_date,ordering_period_end_date,award_type_code,award_type,idv_type_code,idv_type,prime_award_base_transaction_description,awarding_agency_code,awarding_agency_name,awarding_subagency_code,awarding_subagency_name,awarding_office_code,awarding_office_name,funding_agency_code,funding_agency_name,funding_sub_agency_code,funding_sub_agency_name,funding_office_code,funding_office_name,recipient_uei,recipient_duns,recipient_name,recipient_name_raw,recipient_parent_uei,recipient_parent_duns,recipient_parent_name,recipient_parent_name_raw,recipient_country,recipient_state,recipient_county,recipient_city,prime_award_summary_recipient_cd_original,prime_award_summary_recipient_cd_current,recipient_zip_code,primary_place_of_performance_country,primary_place_of_performance_state,primary_place_of_performance_county,prime_award_summary_place_of_performance_cd_original,prime_award_summary_place_of_performance_cd_current,primary_place_of_performance_zip_code,cfda_number,cfda_title,product_or_service_code,product_or_service_code_description,naics_code,naics_description,national_interest_action_code,national_interest_action,usaspending_permalink,last_modified_date
Environmental Protection Agency,Environmental Protection Agency,FY2023P08,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K8,RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,23.3,"Communications, utilities, and miscellaneous charges",D,Q,,51.80,,,,,GULFPOW0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K8,RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,25.1,Advisory and assistance services,D,Q,,-405.00,,,,,68HE0B23F0059,68HERH19A0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P08,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K8,RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,25.1,Advisory and assistance services,D,Q,,4480.00,,,,,68HE0B23F0103,68HERH19A0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P06,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K8,RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,25.2,Other services from non-Federal sources,D,Q,,15000.00,,,,,2,EPC18008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-15
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K8,RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,25.2,Other services from non-Federal sources,D,Q,,-0.02,,,,,68HE0B22P0338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K8,RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,25.2,Other services from non-Federal sources,D,Q,,-0.04,,,,,68HE0B22P0421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P08,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K8,RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,25.2,Other services from non-Federal sources,D,Q,,-0.01,,,,,HHSN316201200011WEPG16H01259,HHSN316201200011W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P08,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K8,RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,25.2,Other services from non-Federal sources,D,Q,,1178.58,,,,,T232631P007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K8,RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,25.4,Operation and maintenance of facilities,D,Q,,5760.00,,,,,68HE0B23P0436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P08,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K8,RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,25.5,Research and development contracts,D,Q,,-0.01,,,,,HHSN316201200013WEPG16H01256,HHSN316201200013W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K8,RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,25.7,Operation and maintenance of equipment,D,Q,,-115.00,,,,,68HE0B22P0386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K8,RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,25.7,Operation and maintenance of equipment,D,Q,,6098.24,,,,,68HE0B23F0111,GS07F5688R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K8,RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,25.7,Operation and maintenance of equipment,D,Q,,6098.24,,,,,68HE0B23F0124,GS07F5688R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P08,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K8,RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,25.7,Operation and maintenance of equipment,D,Q,,-735.00,,,,,68HE0B23P0108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K8,RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,25.7,Operation and maintenance of equipment,D,Q,,1950.00,,,,,68HE0B23P0409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K8,RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,25.7,Operation and maintenance of equipment,D,Q,,8560.00,,,,,68HE0B23P0413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K8,RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,26.0,Supplies and materials,D,Q,,-1500.00,,,,,2026AA0040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K8,RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,26.0,Supplies and materials,D,Q,,3792.00,,,,,68HE0B23P0390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K8,RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,26.0,Supplies and materials,D,Q,,-3063.94,,,,,EPB16RD0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K8,RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,31.0,Equipment,D,Q,,4048.35,,,,,68HE0B23F0125,47QSWA18D008F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K8,RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,31.0,Equipment,D,Q,,-1394.48,,,,,68HE0B23P0321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P08,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K8,RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,31.0,Equipment,D,Q,,1381.00,,,,,68HE0B23P0378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K8,RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,31.0,Equipment,D,Q,,1120.00,,,,,68HE0B23P0423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P08,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K9,RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,12.1,Civilian personnel benefits,D,Q,,160.00,,,,,TRAV202301549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P08,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K9,RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,12.1,Civilian personnel benefits,D,Q,,160.00,,,,,TRAV202301585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K9,RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,12.1,Civilian personnel benefits,D,Q,,152.50,,,,,TRAV202301591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K9,RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,12.1,Civilian personnel benefits,D,Q,,152.90,,,,,TRAV202301663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P08,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K9,RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,23.3,"Communications, utilities, and miscellaneous charges",D,Q,,6773.54,,,,,GULFPOW0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P06,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K9,RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,25.2,Other services from non-Federal sources,D,Q,,10000.00,,,,,9,EPC18008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-15
Environmental Protection Agency,Environmental Protection Agency,FY2023P07,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K9,RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,25.2,Other services from non-Federal sources,D,Q,,10000.00,,,,,9,EPC18008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K9,RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,25.5,Research and development contracts,D,Q,,1000.00,,,,,68HE0B22P0122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P06,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K9,RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,25.5,Research and development contracts,D,Q,,7500.00,,,,,8,EPC18008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-15
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K9,RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,25.7,Operation and maintenance of equipment,D,Q,,6448.72,,,,,68HE0B23P0384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K9,RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,25.7,Operation and maintenance of equipment,D,Q,,6172.48,,,,,68HE0B23P0408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K9,RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,25.7,Operation and maintenance of equipment,D,Q,,2993.00,,,,,68HE0B23P0418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K9,RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,26.0,Supplies and materials,D,Q,,476.07,,,,,68HE0B23F0114,GS07F078CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K9,RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,26.0,Supplies and materials,D,Q,,4851.96,,,,,68HE0B23P0431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K9,RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,31.0,Equipment,D,Q,,1718.95,,,,,68HE0B23F0106,47QSWA18D008F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P08,068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,00K9,RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,31.0,Equipment,D,Q,,1995.00,,,,,68HE0B23P0364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P07,068-0108,"Environmental Programs and Management, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0043,BROWNFIELDS,25.2,Other services from non-Federal sources,D,Q,,86000.00,,,,,2,EPW12020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0108,"Environmental Programs and Management, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0044,CIVIL ENFORCEMENT,12.1,Civilian personnel benefits,D,Q,,86.40,,,,,2302HE0152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P06,068-0108,"Environmental Programs and Management, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0044,CIVIL ENFORCEMENT,25.2,Other services from non-Federal sources,D,Q,,-33.07,,,,,2,EPS11701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-15
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0108,"Environmental Programs and Management, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0044,CIVIL ENFORCEMENT,25.2,Other services from non-Federal sources,D,Q,,1110.62,,,,,68HE0423P0037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0108,"Environmental Programs and Management, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0044,CIVIL ENFORCEMENT,26.0,Supplies and materials,D,Q,,261.45,,,,,2310JER008,PRR02300338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0108,"Environmental Programs and Management, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0044,CIVIL ENFORCEMENT,26.0,Supplies and materials,D,Q,,720.00,,,,,68HE0723P0060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0108,"Environmental Programs and Management, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0044,CIVIL ENFORCEMENT,31.0,Equipment,D,Q,,846.17,,,,,68HE0423F0058,47QTCA22D003G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0108,"Environmental Programs and Management, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0046,CLIMATE PROTECTION PROGRAM,12.1,Civilian personnel benefits,D,Q,,152.90,,,,,232723A025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P08,068-0108,"Environmental Programs and Management, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0046,CLIMATE PROTECTION PROGRAM,25.2,Other services from non-Federal sources,D,Q,,2000.00,,,,,68HERH23P0109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P08,068-0108,"Environmental Programs and Management, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0046,CLIMATE PROTECTION PROGRAM,25.2,Other services from non-Federal sources,D,Q,,9850.00,,,,,68HERH23P0117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P08,068-0108,"Environmental Programs and Management, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0046,CLIMATE PROTECTION PROGRAM,25.2,Other services from non-Federal sources,D,Q,,0.01,,,,,EPW170110020,EPW17011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0108,"Environmental Programs and Management, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0046,CLIMATE PROTECTION PROGRAM,25.3,Other goods and services from Federal sources,R,Q,,125000.00,,,,,2358FC0914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0108,"Environmental Programs and Management, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0050,COMPLIANCE MONITORING,12.1,Civilian personnel benefits,D,Q,,-7.10,,,,,2208WWW012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0108,"Environmental Programs and Management, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0050,COMPLIANCE MONITORING,12.1,Civilian personnel benefits,D,Q,,152.90,,,,,2301EZC002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0108,"Environmental Programs and Management, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0050,COMPLIANCE MONITORING,12.1,Civilian personnel benefits,D,Q,,48.00,,,,,2302HE0152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P08,068-0108,"Environmental Programs and Management, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0050,COMPLIANCE MONITORING,25.1,Advisory and assistance services,D,Q,,0.01,,,,,GS35F4594GEPG12S00070,GS35F4594G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P08,068-0108,"Environmental Programs and Management, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0050,COMPLIANCE MONITORING,25.1,Advisory and assistance services,D,Q,,2150.00,,,,,T2326F10018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,068-0108,"Environmental Programs and Management, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0050,COMPLIANCE MONITORING,25.2,Other services from non-Federal sources,D,Q,,341.32,,,,,68HE0423P0037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P08,068-0108,"Environmental Programs and Management, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0050,COMPLIANCE MONITORING,25.2,Other services from non-Federal sources,D,Q,,150796.52,,,,,EPBPA18H0001EPB18H00021,EPBPA18H0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P08,068-0108,"Environmental Programs and Management, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0050,COMPLIANCE MONITORING,25.2,Other services from non-Federal sources,D,Q,,-0.01,,,,,EPBPA18H0001EPB18H00030,EPBPA18H0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
