owning_agency_name,reporting_agency_name,submission_period,agency_identifier_name,budget_function,budget_subfunction,federal_account_symbol,federal_account_name,program_activity_code,program_activity_name,object_class_code,object_class_name,direct_or_reimbursable_funding_source,disaster_emergency_fund_code,disaster_emergency_fund_name,obligations_incurred,obligations_undelivered_orders_unpaid_total,obligations_undelivered_orders_unpaid_total_FYB,USSGL480100_undelivered_orders_obligations_unpaid,USSGL480100_undelivered_orders_obligations_unpaid_FYB,USSGL488100_upward_adj_prior_year_undeliv_orders_oblig_unpaid,obligations_delivered_orders_unpaid_total,obligations_delivered_orders_unpaid_total_FYB,USSGL490100_delivered_orders_obligations_unpaid,USSGL490100_delivered_orders_obligations_unpaid_FYB,USSGL498100_upward_adj_of_prior_year_deliv_orders_oblig_unpaid,gross_outlay_amount_FYB_to_period_end,gross_outlay_amount_FYB,gross_outlays_undelivered_orders_prepaid_total,gross_outlays_undelivered_orders_prepaid_total_FYB,USSGL480200_undelivered_orders_obligations_prepaid_advanced,USSGL480200_undelivered_orders_obligations_prepaid_advanced_FYB,USSGL488200_upward_adj_prior_year_undeliv_orders_oblig_prepaid,gross_outlays_delivered_orders_paid_total,gross_outlays_delivered_orders_paid_total_FYB,USSGL490200_delivered_orders_obligations_paid,USSGL490800_authority_outlayed_not_yet_disbursed,USSGL490800_authority_outlayed_not_yet_disbursed_FYB,USSGL498200_upward_adj_of_prior_year_deliv_orders_oblig_paid,deobligations_or_recoveries_or_refunds_from_prior_year,USSGL487100_downward_adj_prior_year_unpaid_undeliv_orders_oblig,USSGL497100_downward_adj_prior_year_unpaid_deliv_orders_oblig,USSGL487200_downward_adj_prior_year_prepaid_undeliv_order_oblig,USSGL497200_downward_adj_of_prior_year_paid_deliv_orders_oblig,USSGL483100_undelivered_orders_obligations_transferred_unpaid,USSGL493100_delivered_orders_obligations_transferred_unpaid,USSGL483200_undeliv_orders_oblig_transferred_prepaid_advanced,last_modified_date
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0010,CATEGORICAL GRANT:  LEAD,25.3,Other goods and services from Federal sources,D,Q,,886750.00,52926.17,1235024.46,52926.17,1235024.46,0.00,0.00,0.00,0.00,0.00,0.00,2068848.29,0.00,0.00,0.00,0.00,0.00,0.00,2068848.29,0.00,2068848.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0010,CATEGORICAL GRANT:  LEAD,32.0,Land and structures,D,Q,,0.00,-92.11,-343.56,-92.11,-343.56,0.00,92.11,92.11,92.11,343.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0010,CATEGORICAL GRANT:  LEAD,41.0,"Grants, subsidies, and contributions",D,Q,,4846631.00,-3411806.21,1173142.24,-3411806.21,1173142.24,0.00,279791.80,279791.80,279791.80,154473.39,0.00,9306261.04,0.00,0.00,0.00,0.00,0.00,0.00,9306261.04,0.00,9306261.04,0.00,0.00,0.00,-149599.99,-149599.99,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0011,CATEGORICAL GRANT:  HAZARDOUS WASTE FINANCIAL ASSISTANCE,11.1,Full-time permanent,D,Z,Infrastructure Investment and Jobs Act,869040.44,0.00,0.00,0.00,0.00,0.00,52818.99,52818.99,52818.99,78762.42,0.00,894983.87,0.00,0.00,0.00,0.00,0.00,0.00,894983.87,0.00,894983.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0011,CATEGORICAL GRANT:  HAZARDOUS WASTE FINANCIAL ASSISTANCE,11.3,Other than full-time permanent,D,Z,Infrastructure Investment and Jobs Act,3514.07,0.00,0.00,0.00,0.00,0.00,581.12,581.12,581.12,221.99,0.00,3154.94,0.00,0.00,0.00,0.00,0.00,0.00,3154.94,0.00,3154.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0011,CATEGORICAL GRANT:  HAZARDOUS WASTE FINANCIAL ASSISTANCE,11.5,Other personnel compensation,D,Z,Infrastructure Investment and Jobs Act,1134.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1134.27,0.00,0.00,0.00,0.00,0.00,0.00,1134.27,0.00,1134.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0011,CATEGORICAL GRANT:  HAZARDOUS WASTE FINANCIAL ASSISTANCE,12.1,Civilian personnel benefits,D,Z,Infrastructure Investment and Jobs Act,316921.13,0.00,0.00,0.00,0.00,0.00,19772.66,19772.66,19772.66,28626.19,0.00,325774.66,0.00,0.00,0.00,0.00,0.00,0.00,325774.66,0.00,325774.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0011,CATEGORICAL GRANT:  HAZARDOUS WASTE FINANCIAL ASSISTANCE,25.1,Advisory and assistance services,D,Q,,36800.00,-25000.00,-25000.00,-25000.00,-25000.00,0.00,0.00,0.00,0.00,0.00,0.00,36800.00,0.00,0.00,0.00,0.00,0.00,0.00,36800.00,0.00,36800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0011,CATEGORICAL GRANT:  HAZARDOUS WASTE FINANCIAL ASSISTANCE,25.1,Advisory and assistance services,D,Z,Infrastructure Investment and Jobs Act,71239.69,18334.59,31851.85,18334.59,31851.85,0.00,0.00,0.00,0.00,0.00,0.00,84756.95,1484.61,27935.52,27935.52,27935.52,1484.61,0.00,58306.04,0.00,58306.04,0.00,0.00,0.00,-18334.59,-18334.59,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0011,CATEGORICAL GRANT:  HAZARDOUS WASTE FINANCIAL ASSISTANCE,25.2,Other services from non-Federal sources,D,Q,,925420.29,-249542.23,-636641.98,-249542.23,-636641.98,0.00,11139.68,11139.68,11139.68,35945.24,0.00,563126.10,0.00,0.00,0.00,0.00,0.00,0.00,563126.10,0.00,563126.10,0.00,0.00,0.00,-18024.13,-18024.13,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0011,CATEGORICAL GRANT:  HAZARDOUS WASTE FINANCIAL ASSISTANCE,25.3,Other goods and services from Federal sources,D,Q,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-119090.00,-119090.00,-119090.00,-119090.00,-119090.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0011,CATEGORICAL GRANT:  HAZARDOUS WASTE FINANCIAL ASSISTANCE,31.0,Equipment,D,Q,,6064.62,0.00,0.00,0.00,0.00,0.00,116.81,116.81,116.81,0.00,0.00,5947.81,0.00,0.00,0.00,0.00,0.00,0.00,5947.81,0.00,5947.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0011,CATEGORICAL GRANT:  HAZARDOUS WASTE FINANCIAL ASSISTANCE,32.0,Land and structures,D,Q,,0.00,-457.90,-19.26,-457.90,-19.26,0.00,457.90,457.90,457.90,19.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0011,CATEGORICAL GRANT:  HAZARDOUS WASTE FINANCIAL ASSISTANCE,41.0,"Grants, subsidies, and contributions",D,C,Bipartisan Budget Act of 2018,0.00,6861991.12,7231523.88,6861991.12,7231523.88,0.00,68202.31,68202.31,68202.31,42848.79,0.00,344179.24,0.00,0.00,0.00,0.00,0.00,0.00,344179.24,0.00,344179.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0011,CATEGORICAL GRANT:  HAZARDOUS WASTE FINANCIAL ASSISTANCE,41.0,"Grants, subsidies, and contributions",D,E,"Additional Supplemental Appropriations for Disaster Relief Act, 2019",940022.00,2353333.94,3603155.33,2353333.94,3603155.33,0.00,259760.06,259760.06,259760.06,134576.67,0.00,2064660.00,0.00,0.00,0.00,0.00,0.00,0.00,2064660.00,0.00,2064660.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0011,CATEGORICAL GRANT:  HAZARDOUS WASTE FINANCIAL ASSISTANCE,41.0,"Grants, subsidies, and contributions",D,Q,,70442794.00,2554855.96,3560963.32,2554855.96,3560963.32,0.00,1223781.09,1223781.09,1223781.09,528974.27,0.00,70754094.54,0.00,0.00,0.00,0.00,0.00,0.00,70754094.54,0.00,70754094.54,0.00,0.00,0.00,-743519.20,-743519.20,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0012,CATEGORICAL GRANT:  PESTICIDES ENFORCEMENT,25.1,Advisory and assistance services,D,Q,,5942.28,-216.41,21063.94,-216.41,21063.94,0.00,0.00,0.00,0.00,0.00,0.00,27222.63,209.33,11201.36,11201.36,11201.36,209.33,0.00,16230.60,0.00,16230.60,0.00,0.00,0.00,-5822.60,-5822.60,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0012,CATEGORICAL GRANT:  PESTICIDES ENFORCEMENT,25.2,Other services from non-Federal sources,D,Q,,0.00,2325.93,2267.46,2325.93,2267.46,0.00,-2325.93,-2325.93,-2325.93,-2267.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0012,CATEGORICAL GRANT:  PESTICIDES ENFORCEMENT,32.0,Land and structures,D,Q,,0.00,0.00,-701.17,0.00,-701.17,0.00,0.00,0.00,0.00,701.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0012,CATEGORICAL GRANT:  PESTICIDES ENFORCEMENT,41.0,"Grants, subsidies, and contributions",D,Q,,8352795.00,-4199259.60,3788333.45,-4199259.60,3788333.45,0.00,700775.94,700775.94,700775.94,347455.17,0.00,15987067.28,0.00,0.00,0.00,0.00,0.00,0.00,15987067.28,0.00,15987067.28,0.00,0.00,0.00,-960308.76,-960308.76,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0013,CATEGORICAL GRANT:  POLLUTION PREVENTION,11.1,Full-time permanent,D,Z,Infrastructure Investment and Jobs Act,1384331.50,0.00,0.00,0.00,0.00,0.00,65182.75,65182.75,65182.75,84943.39,0.00,1404092.14,0.00,0.00,0.00,0.00,0.00,0.00,1404092.14,0.00,1404092.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0013,CATEGORICAL GRANT:  POLLUTION PREVENTION,11.3,Other than full-time permanent,D,Z,Infrastructure Investment and Jobs Act,16920.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5641.49,0.00,22562.47,0.00,0.00,0.00,0.00,0.00,0.00,22562.47,0.00,22562.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0013,CATEGORICAL GRANT:  POLLUTION PREVENTION,11.5,Other personnel compensation,D,Z,Infrastructure Investment and Jobs Act,1726.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1726.21,0.00,0.00,0.00,0.00,0.00,0.00,1726.21,0.00,1726.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0013,CATEGORICAL GRANT:  POLLUTION PREVENTION,12.1,Civilian personnel benefits,D,Z,Infrastructure Investment and Jobs Act,513798.91,0.00,0.00,0.00,0.00,0.00,23876.20,23876.20,23876.20,32919.50,0.00,522842.21,0.00,0.00,0.00,0.00,0.00,0.00,522842.21,0.00,522842.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0013,CATEGORICAL GRANT:  POLLUTION PREVENTION,21.0,Travel and transportation of persons,D,Z,Infrastructure Investment and Jobs Act,22438.17,-2259.56,3314.85,-2274.06,3314.85,14.50,5787.40,5787.40,5787.40,0.00,0.00,22225.18,0.00,0.00,0.00,0.00,0.00,0.00,22225.18,0.00,22225.18,0.00,0.00,0.00,-159.51,-159.51,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0013,CATEGORICAL GRANT:  POLLUTION PREVENTION,25.1,Advisory and assistance services,D,Z,Infrastructure Investment and Jobs Act,147831.36,50548.94,21382.89,50548.94,21382.89,0.00,0.00,0.00,0.00,0.00,0.00,118665.31,35450.05,45147.62,45147.62,45147.62,35450.05,0.00,108967.74,0.00,108967.74,0.00,0.00,0.00,-50548.94,-50548.94,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0013,CATEGORICAL GRANT:  POLLUTION PREVENTION,25.2,Other services from non-Federal sources,D,Z,Infrastructure Investment and Jobs Act,190745.50,1371458.33,1500000.00,1371458.33,1500000.00,0.00,23357.90,23357.90,23357.90,0.00,0.00,295929.27,0.00,0.00,0.00,0.00,0.00,0.00,295929.27,0.00,295929.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0013,CATEGORICAL GRANT:  POLLUTION PREVENTION,41.0,"Grants, subsidies, and contributions",D,Q,,4191489.00,-881337.74,-1645877.58,-881337.74,-1645877.58,0.00,62172.06,62172.06,62172.06,61657.24,0.00,3426434.34,0.00,0.00,0.00,0.00,0.00,0.00,3426434.34,0.00,3426434.34,0.00,0.00,0.00,-208664.33,-208664.33,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0013,CATEGORICAL GRANT:  POLLUTION PREVENTION,41.0,"Grants, subsidies, and contributions",D,Z,Infrastructure Investment and Jobs Act,3167780.00,10383286.20,8734550.00,10383286.20,8734550.00,0.00,99962.72,99962.72,99962.72,0.00,0.00,1419081.08,0.00,0.00,0.00,0.00,0.00,0.00,1419081.08,0.00,1419081.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0014,CATEGORICAL GRANT:  TOXICS SUBSTANCES COMPLIANCE,41.0,"Grants, subsidies, and contributions",D,Q,,2148289.00,-206038.42,975457.85,-206038.42,975457.85,0.00,111174.93,111174.93,111174.93,88548.22,0.00,3307158.56,0.00,0.00,0.00,0.00,0.00,0.00,3307158.56,0.00,3307158.56,0.00,0.00,0.00,-61743.93,-61743.93,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0015,CATEGORICAL GRANT:  TRIBAL GENERAL ASSISTANCE PROGRAM,25.3,Other goods and services from Federal sources,D,Q,,0.00,180000.00,0.00,180000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-180000.00,-1426696.00,-1717877.67,-1717877.67,-1717877.67,-1426696.00,0.00,111181.67,0.00,111181.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0015,CATEGORICAL GRANT:  TRIBAL GENERAL ASSISTANCE PROGRAM,41.0,"Grants, subsidies, and contributions",D,Q,,7461626.00,-26504094.44,13078137.23,-26505129.88,13078137.23,1035.44,1372217.21,1372217.21,1372217.21,332247.04,0.00,46003887.50,0.00,-50127.80,-50127.80,-50127.80,0.00,0.00,46054015.30,0.00,46054015.30,0.00,0.00,0.00,-5221095.83,-5166168.96,0.00,0.00,-54926.87,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0016,CATEGORICAL GRANT:  UNDERGROUND STORAGE TANKS,41.0,"Grants, subsidies, and contributions",D,Q,,445000.00,-626223.43,147400.02,-626223.43,147400.02,0.00,8898.89,8898.89,8898.89,-1284.62,0.00,1208439.94,0.00,0.00,0.00,0.00,0.00,0.00,1208439.94,0.00,1208439.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0017,CATEGORICAL GRANT:  TRIBAL AIR QUALITY MANAGEMENT,25.2,Other services from non-Federal sources,D,Q,,95318.57,17323.86,32441.51,17323.86,32441.51,0.00,11117.75,11117.75,11117.75,15263.45,0.00,114581.92,0.00,0.00,0.00,0.00,0.00,0.00,114581.92,0.00,114581.92,0.00,0.00,0.00,-45318.57,-45318.57,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0017,CATEGORICAL GRANT:  TRIBAL AIR QUALITY MANAGEMENT,25.3,Other goods and services from Federal sources,D,Q,,266000.00,252755.00,-13245.00,252755.00,-13245.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0017,CATEGORICAL GRANT:  TRIBAL AIR QUALITY MANAGEMENT,41.0,"Grants, subsidies, and contributions",D,Q,,3123606.00,-4656167.71,1999813.82,-4656167.71,1999813.82,0.00,221817.00,221817.00,221817.00,45898.99,0.00,9603669.52,0.00,0.00,0.00,0.00,0.00,0.00,9603669.52,0.00,9603669.52,0.00,0.00,0.00,-631580.21,-631580.21,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0019,CATEGORICAL GRANT:  SECTOR PROGRAM,41.0,"Grants, subsidies, and contributions",D,Q,,0.00,-21685.89,-21685.89,-21685.89,-21685.89,0.00,-1918.41,-1918.41,-1918.41,-1918.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0020,CATEGORICAL GRANT:  MULTIPURPOSE GRANTS,25.2,Other services from non-Federal sources,D,Q,,0.00,3915.40,144090.57,3915.40,144090.57,0.00,16544.23,16544.23,16544.23,33562.43,0.00,157193.37,0.00,0.00,0.00,0.00,0.00,0.00,157193.37,0.00,157193.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0020,CATEGORICAL GRANT:  MULTIPURPOSE GRANTS,41.0,"Grants, subsidies, and contributions",D,Q,,33820.62,-11749442.14,-7291828.36,-11794682.75,-7291828.36,45240.61,49066.76,49066.76,49066.76,270210.54,0.00,4712578.18,0.00,0.00,0.00,0.00,0.00,0.00,4712578.18,0.00,4712578.18,0.00,0.00,0.00,-302246.59,-302246.59,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0021,CATEGORICAL GRANT:  ENVIRONMENTAL INFORMATION,41.0,"Grants, subsidies, and contributions",D,Q,,6387855.57,-5006851.77,-4117909.40,-5006851.77,-4117909.40,0.00,190225.40,190225.40,190225.40,-48493.66,0.00,7038078.88,0.00,0.00,0.00,0.00,0.00,0.00,7038078.88,0.00,7038078.88,0.00,0.00,0.00,-143274.07,-143274.07,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0023,CATEGORICAL GRANT:  BEACHES PROTECTION,41.0,"Grants, subsidies, and contributions",D,Q,,1364000.00,-1534402.80,3228996.22,-1534402.80,3228996.22,0.00,131194.82,131194.82,131194.82,22221.51,0.00,6018425.71,0.00,0.00,0.00,0.00,0.00,0.00,6018425.71,0.00,6018425.71,0.00,0.00,0.00,-130228.58,-130228.58,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P09,Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",0024,CATEGORICAL GRANT:  BROWNFIELDS,11.1,Full-time permanent,D,Z,Infrastructure Investment and Jobs Act,699316.06,0.00,0.00,0.00,0.00,0.00,46885.89,46885.89,46885.89,41300.37,0.00,693730.54,0.00,0.00,0.00,0.00,0.00,0.00,693730.54,0.00,693730.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-09
